idade,sexo,grupo,pop,obito
65,m,total,518237,9926
66,m,total,505744,10854
67,m,total,501968,11674
68,m,total,466863,11652
69,m,total,425542,11475
70,m,total,399353,11638
71,m,total,396562,12119
72,m,total,365404,12188
73,m,total,332402,12133
74,m,total,305915,12349
75,m,total,319389,13262
76,m,total,278448,12885
77,m,total,246699,12369
78,m,total,223354,12518
79,m,total,219125,12760
80,m,total,189187,12103
81,m,total,162563,11297
82,m,total,148088,11423
83,m,total,140269,11424
84,m,total,125232,11063
85,m,total,112132,10756
86,m,total,92756,9907
87,m,total,79234,9114
88,m,total,68017,8619
89,m,total,56415,7323
90,m,total,47159,6708
91,m,total,37819,5647
92,m,total,29847,4896
93,m,total,23120,4118
94,m,total,18149,3277
95,m,total,15226,2764
96,m,total,11493,2187
97,m,total,9251,1839
98,m,total,6895,1397
99,m,total,5406,1060
100,m,total,3951,803
101,m,total,2560,598
102,m,total,1784,390
103,m,total,1442,310
104,m,total,1013,227
105,m,total,746,158
106,m,total,377,68
107,m,total,336,68
108,m,total,289,62
109,m,total,204,32
110,m,total,112,20
111,m,total,54,11
112,m,total,34,5
113,m,total,33,3
114,m,total,33,7
115,m,total,6,1
65,f,total,564792,5823
66,f,total,543922,6228
67,f,total,549063,6682
68,f,total,518011,6673
69,f,total,478028,6981
70,f,total,461279,7270
71,f,total,476572,7939
72,f,total,439791,8098
73,f,total,406959,8085
74,f,total,388229,8414
75,f,total,421882,9809
76,f,total,376143,9459
77,f,total,346609,9411
78,f,total,327472,9966
79,f,total,336878,10769
80,f,total,294333,10554
81,f,total,257272,9884
82,f,total,238656,10311
83,f,total,235570,10681
84,f,total,215429,10705
85,f,total,198771,11066
86,f,total,167818,9958
87,f,total,146938,9735
88,f,total,129687,9287
89,f,total,108554,8642
90,f,total,92296,7986
91,f,total,74120,7040
92,f,total,60193,6224
93,f,total,46048,5175
94,f,total,38313,4480
95,f,total,32121,4078
96,f,total,24294,3226
97,f,total,19443,2691
98,f,total,15130,2204
99,f,total,12035,1778
100,f,total,8813,1468
101,f,total,5774,1006
102,f,total,4203,782
103,f,total,3280,618
104,f,total,2492,508
105,f,total,1830,325
106,f,total,1033,181
107,f,total,893,186
108,f,total,1000,180
109,f,total,980,174
110,f,total,517,83
111,f,total,248,46
112,f,total,116,27
113,f,total,91,25
114,f,total,78,21
115,f,total,23,4
65,m,atc,159147,2163
66,m,atc,145258,2170
67,m,atc,135838,2295
68,m,atc,124530,2402
69,m,atc,109704,2254
70,m,atc,98756,2257
71,m,atc,93089,2357
72,m,atc,83205,2289
73,m,atc,74374,2303
74,m,atc,67897,2237
75,m,atc,65922,2438
76,m,atc,59826,2492
77,m,atc,53131,2458
78,m,atc,47716,2387
79,m,atc,45099,2462
80,m,atc,39886,2419
81,m,atc,33745,2241
82,m,atc,29150,2126
83,m,atc,26690,2183
84,m,atc,23471,2128
85,m,atc,20155,1968
86,m,atc,16533,1847
87,m,atc,13502,1709
88,m,atc,11085,1485
89,m,atc,8832,1237
90,m,atc,6988,1167
91,m,atc,5301,933
92,m,atc,3982,769
93,m,atc,2954,663
94,m,atc,2074,493
95,m,atc,1310,345
96,m,atc,979,269
97,m,atc,675,188
