ano;idade;sexo;grupo;pop;obito
2008;65;f;atc;26119;240
2008;66;f;atc;22732;223
2008;67;f;atc;21110;211
2008;68;f;atc;20663;264
2008;69;f;atc;18633;242
2008;70;f;atc;16337;204
2008;71;f;atc;14304;242
2008;72;f;atc;13490;231
2008;73;f;atc;11837;241
2008;74;f;atc;10142;243
2008;75;f;atc;9373;208
2008;76;f;atc;8352;221
2008;77;f;atc;8106;226
2008;78;f;atc;7785;212
2008;79;f;atc;6992;273
2008;80;f;atc;6069;262
2008;81;f;atc;5407;258
2008;82;f;atc;4646;257
2008;83;f;atc;3853;220
2008;84;f;atc;3160;209
2008;85;f;atc;2669;207
2008;86;f;atc;2145;173
2008;87;f;atc;1679;160
2008;88;f;atc;1362;150
2008;89;f;atc;1095;133
2008;90;f;atc;835;102
2008;91;f;atc;626;80
2008;92;f;atc;551;78
2008;93;f;atc;372;60
2008;94;f;atc;250;56
2008;95;f;atc;193;45
2008;96;f;atc;130;36
2008;97;f;atc;93;21
2008;98;f;atc;53;11
2008;99;f;atc;37;12
2008;100;f;atc;20;8
2008;101;f;atc;17;0
2008;102;f;atc;6;4
2008;103;f;atc;1;1
2008;104;f;atc;3;1
2008;105;f;atc;1;1
2008;106;f;atc;0;0
2008;107;f;atc;3;1
2008;108;f;atc;1;0
2008;109;f;atc;0;0
2008;110;f;atc;0;0
2008;111;f;atc;0;0
2008;112;f;atc;0;0
2008;113;f;atc;0;0
2008;114;f;atc;0;0
2008;115;f;atc;0;0
2008;65;f;total;425218;4463
2008;66;f;total;416585;4747
2008;67;f;total;409783;5097
2008;68;f;total;456509;6164
2008;69;f;total;417456;5991
2008;70;f;total;393862;6066
2008;71;f;total;381980;6656
2008;72;f;total;401819;7211
2008;73;f;total;360708;6945
2008;74;f;total;324623;6824
2008;75;f;total;313204;7243
2008;76;f;total;316434;7556
2008;77;f;total;302571;7837
2008;78;f;total;291608;8246
2008;79;f;total;258195;8005
2008;80;f;total;238524;7916
2008;81;f;total;221421;7937
2008;82;f;total;198987;8013
2008;83;f;total;180042;7778
2008;84;f;total;155568;7500
2008;85;f;total;137534;7135
2008;86;f;total;112870;6453
2008;87;f;total;100232;6285
2008;88;f;total;90126;6212
2008;89;f;total;74565;5571
2008;90;f;total;64181;5272
2008;91;f;total;52002;4614
2008;92;f;total;44840;4263
2008;93;f;total;35988;3838
2008;94;f;total;25929;3063
2008;95;f;total;20353;2570
2008;96;f;total;15702;2075
2008;97;f;total;12356;1722
2008;98;f;total;9258;1388
2008;99;f;total;5581;927
2008;100;f;total;4654;821
2008;101;f;total;4624;754
2008;102;f;total;4194;634
2008;103;f;total;2406;426
2008;104;f;total;1193;227
2008;105;f;total;693;140
2008;106;f;total;546;111
2008;107;f;total;827;163
2008;108;f;total;213;49
2008;109;f;total;71;23
2008;110;f;total;55;17
2008;111;f;total;36;6
2008;112;f;total;33;7
2008;113;f;total;21;1
2008;114;f;total;19;4
2008;115;f;total;16;2
2008;65;f;api.urb;72934;626
2008;66;f;api.urb;67542;593
2008;67;f;api.urb;65002;676
2008;68;f;api.urb;70097;835
2008;69;f;api.urb;65797;788
2008;70;f;api.urb;63037;870
2008;71;f;api.urb;62299;937
2008;72;f;api.urb;66006;1068
2008;73;f;api.urb;61969;1131
2008;74;f;api.urb;59214;1216
2008;75;f;api.urb;57419;1360
2008;76;f;api.urb;57871;1550
2008;77;f;api.urb;55899;1588
2008;78;f;api.urb;52118;1685
2008;79;f;api.urb;46122;1674
2008;80;f;api.urb;40751;1657
2008;81;f;api.urb;36829;1643
2008;82;f;api.urb;31149;1587
2008;83;f;api.urb;27248;1566
2008;84;f;api.urb;22538;1486
2008;85;f;api.urb;19287;1387
2008;86;f;api.urb;15124;1228
2008;87;f;api.urb;12227;1091
2008;88;f;api.urb;9792;1026
2008;89;f;api.urb;7580;865
2008;90;f;api.urb;5777;689
2008;91;f;api.urb;4031;524
2008;92;f;api.urb;2770;451
2008;93;f;api.urb;1967;322
2008;94;f;api.urb;1228;212
2008;95;f;api.urb;823;152
2008;96;f;api.urb;484;100
2008;97;f;api.urb;291;64
2008;98;f;api.urb;169;33
2008;99;f;api.urb;104;32
2008;100;f;api.urb;59;24
2008;101;f;api.urb;36;12
2008;102;f;api.urb;23;9
2008;103;f;api.urb;16;7
2008;104;f;api.urb;9;2
2008;105;f;api.urb;4;1
2008;106;f;api.urb;5;2
2008;107;f;api.urb;3;1
2008;108;f;api.urb;0;0
