idade,sexo,grupo,pop,obito,logmx,topals,topals.inf,topals.sup,vand.hat,gomp.hat
65,f,atc,53209,373,-4.960404414,-4.913020173,-4.982985625,-4.843054721,-4.819957563,-4.913168064
66,f,atc,47421,390,-4.800673708,-4.802578042,-4.856238986,-4.748917098,-4.77549975,-4.801299553
67,f,atc,42732,404,-4.661288455,-4.691235911,-4.732709528,-4.649762294,-4.70553217,-4.689431043
68,f,atc,38079,411,-4.528825014,-4.57119378,-4.608834932,-4.533552627,-4.615137385,-4.577562532
69,f,atc,32680,396,-4.413104338,-4.456351649,-4.500735016,-4.411968282,-4.509765534,-4.465694022
70,f,atc,29356,373,-4.365673814,-4.331209518,-4.389339903,-4.273079133,-4.394443576,-4.353825511
71,f,atc,27431,398,-4.232977034,-4.234882317,-4.27995901,-4.189805624,-4.273355278,-4.241957
72,f,atc,24118,352,-4.227082553,-4.128555117,-4.165218089,-4.091892145,-4.149731957,-4.13008849
73,f,atc,20749,383,-3.992218343,-4.027127917,-4.063403769,-3.990852064,-4.025929453,-4.018219979
74,f,atc,19134,381,-3.916422761,-3.926000716,-3.970127808,-3.881873624,-3.90358336,-3.906351469
75,f,atc,18483,404,-3.823191792,-3.818473516,-3.875376606,-3.761570426,-3.783775878,-3.794482958
76,f,atc,16488,386,-3.754550753,-3.701461844,-3.745561609,-3.65736208,-3.667182868,-3.682614447
77,f,atc,14106,413,-3.530907925,-3.584850173,-3.620933394,-3.548766952,-3.554191311,-3.570745937
78,f,atc,12135,394,-3.427498209,-3.466838502,-3.503026766,-3.430650237,-3.444987961,-3.458877426
79,f,atc,11343,415,-3.308077572,-3.34732683,-3.391684064,-3.302969597,-3.339623928,-3.347008916
80,f,atc,9838,381,-3.251208342,-3.217315159,-3.274550811,-3.160079507,-3.23806067,-3.235140405
81,f,atc,8145,369,-3.094362877,-3.110896002,-3.155638287,-3.066153716,-3.140202214,-3.123271894
82,f,atc,7377,359,-3.022799942,-2.997776845,-3.033905327,-2.961648362,-3.04591745,-3.011403384
