idade,dx,grupo,sexo,info
65,1342.6,atc,m,obs
66,1462.9,atc,m,obs
67,1628.4,atc,m,obs
68,1825.7,atc,m,obs
69,1906.4,atc,m,obs
70,2075.1,atc,m,obs
71,2244.3,atc,m,obs
72,2374.9,atc,m,obs
73,2596.2,atc,m,obs
74,2675.5,atc,m,obs
75,2900.1,atc,m,obs
76,3140.6,atc,m,obs
77,3338.3,atc,m,obs
78,3440.2,atc,m,obs
79,3563,atc,m,obs
80,3737,atc,m,obs
81,3840.4,atc,m,obs
82,3934.1,atc,m,obs
83,4084,atc,m,obs
84,4153.7,atc,m,obs
85,4071.8,atc,m,obs
86,4196.8,atc,m,obs
87,4222.1,atc,m,obs
88,3923.1,atc,m,obs
89,3576.4,atc,m,obs
90,3660.1,atc,m,obs
91,3249.4,atc,m,obs
92,2965.2,atc,m,obs
93,2799.3,atc,m,obs
94,2352.4,atc,m,obs
95,2029.3,atc,m,obs
96,1616.4,atc,m,obs
97,1240.6,atc,m,obs
98,1108.5,atc,m,obs
99,820,atc,m,obs
100,463.9,atc,m,obs
101,495,atc,m,obs
102,334,atc,m,obs
103,231.7,atc,m,obs
104,141,atc,m,obs
105,239.7,atc,m,obs
65,1351.9,atc,m,top
66,1481.9,atc,m,top
67,1615.6,atc,m,top
68,1767.9,atc,m,top
69,1920.4,atc,m,top
70,2091.1,atc,m,top
71,2238.6,atc,m,top
72,2407.7,atc,m,top
73,2573.6,atc,m,top
74,2744.4,atc,m,top
75,2925.8,atc,m,top
76,3092.5,atc,m,top
77,3258.9,atc,m,top
78,3417.8,atc,m,top
79,3572.1,atc,m,top
80,3752.9,atc,m,top
81,3874.5,atc,m,top
82,3989.4,atc,m,top
83,4072.1,atc,m,top
84,4123.8,atc,m,top
85,4142,atc,m,top
86,4132.2,atc,m,top
87,4059.7,atc,m,top
88,3942.9,atc,m,top
89,3781.8,atc,m,top
90,3578.1,atc,m,top
91,3315.9,atc,m,top
92,3025.2,atc,m,top
93,2698.3,atc,m,top
94,2350.5,atc,m,top
95,1975.3,atc,m,top
96,1622.1,atc,m,top
97,1304.1,atc,m,top
98,1025.6,atc,m,top
99,788.6,atc,m,top
100,591.7,atc,m,top
101,434.1,atc,m,top
102,311.3,atc,m,top
103,218.2,atc,m,top
104,149.7,atc,m,top
105,279.8,atc,m,top
65,1523.5,atc,m,van
66,1587.3,atc,m,van
67,1668,atc,m,van
68,1773,atc,m,van
69,1899.9,atc,m,van
70,2045.8,atc,m,van
71,2207.5,atc,m,van
72,2381.6,atc,m,van
73,2564.2,atc,m,van
74,2751.3,atc,m,van
75,2938.3,atc,m,van
76,3120.6,atc,m,van
77,3293.5,atc,m,van
78,3452.4,atc,m,van
79,3592.6,atc,m,van
80,3709.9,atc,m,van
81,3800.5,atc,m,van
82,3861.2,atc,m,van
83,3889.4,atc,m,van
84,3883.5,atc,m,van
85,3842.7,atc,m,van
86,3767.4,atc,m,van
87,3658.7,atc,m,van
88,3518.8,atc,m,van
89,3350.9,atc,m,van
90,3158.7,atc,m,van
91,2946.9,atc,m,van
92,2720.2,atc,m,van
93,2483.8,atc,m,van
94,2243,atc,m,van
95,2002.6,atc,m,van
96,1767.4,atc,m,van
97,1541.4,atc,m,van
98,1328.2,atc,m,van
99,1130.3,atc,m,van
100,949.8,atc,m,van
101,787.9,atc,m,van
102,645,atc,m,van
103,520.9,atc,m,van
104,415,atc,m,van
105,1276.5,atc,m,van
65,1375.6,atc,m,gom
66,1504,atc,m,gom
67,1632.7,atc,m,gom
68,1769.5,atc,m,gom
69,1914.2,atc,m,gom
70,2066.5,atc,m,gom
71,2225.9,atc,m,gom
72,2391.8,atc,m,gom
73,2563,atc,m,gom
74,2738.2,atc,m,gom
75,2915.7,atc,m,gom
76,3093.4,atc,m,gom
77,3268.7,atc,m,gom
78,3438.6,atc,m,gom
79,3599.6,atc,m,gom
80,3747.9,atc,m,gom
81,3879,atc,m,gom
82,3988.3,atc,m,gom
83,4071,atc,m,gom
84,4122.2,atc,m,gom
85,4137.3,atc,m,gom
86,4112.2,atc,m,gom
87,4043.4,atc,m,gom
88,3928.9,atc,m,gom
89,3767.8,atc,m,gom
90,3561.5,atc,m,gom
91,3313.2,atc,m,gom
92,3028.3,atc,m,gom
93,2714.6,atc,m,gom
94,2381.6,atc,m,gom
95,2040.5,atc,m,gom
96,1702.9,atc,m,gom
97,1380.5,atc,m,gom
98,1083.8,atc,m,gom
99,821,atc,m,gom
100,597.9,atc,m,gom
101,416.8,atc,m,gom
102,276.7,atc,m,gom
103,173.9,atc,m,gom
104,102.9,atc,m,gom
105,108.6,atc,m,gom
65,1187.8,api.urb,m,obs
66,1668,api.urb,m,obs
67,1828.1,api.urb,m,obs
68,1978.1,api.urb,m,obs
69,2139.4,api.urb,m,obs
70,2360.5,api.urb,m,obs
71,2311,api.urb,m,obs
72,2539.2,api.urb,m,obs
73,2789.2,api.urb,m,obs
74,3117.5,api.urb,m,obs
75,2981.6,api.urb,m,obs
76,3352,api.urb,m,obs
77,3451.9,api.urb,m,obs
78,3789.7,api.urb,m,obs
79,3538.3,api.urb,m,obs
80,3659.1,api.urb,m,obs
81,3724.9,api.urb,m,obs
82,4067.3,api.urb,m,obs
83,3856,api.urb,m,obs
84,4021.1,api.urb,m,obs
85,4012.9,api.urb,m,obs
86,3951,api.urb,m,obs
87,3904.4,api.urb,m,obs
88,3927,api.urb,m,obs
89,3379.8,api.urb,m,obs
90,3275,api.urb,m,obs
91,2967.1,api.urb,m,obs
92,2829.3,api.urb,m,obs
93,2477.9,api.urb,m,obs
94,2280.2,api.urb,m,obs
95,1998.2,api.urb,m,obs
96,1581.4,api.urb,m,obs
97,1222.9,api.urb,m,obs
98,1046.4,api.urb,m,obs
99,683.3,api.urb,m,obs
100,699.7,api.urb,m,obs
101,374.7,api.urb,m,obs
102,263.1,api.urb,m,obs
103,244.9,api.urb,m,obs
104,189.3,api.urb,m,obs
105,331.2,api.urb,m,obs
65,1389.2,api.urb,m,top
66,1549.9,api.urb,m,top
67,1718.9,api.urb,m,top
68,1912.7,api.urb,m,top
69,2111.5,api.urb,m,top
70,2335.2,api.urb,m,top
71,2481,api.urb,m,top
72,2647.8,api.urb,m,top
73,2807.8,api.urb,m,top
74,2970,api.urb,m,top
75,3140.4,api.urb,m,top
76,3273.2,api.urb,m,top
77,3401.7,api.urb,m,top
78,3519.1,api.urb,m,top
79,3628.8,api.urb,m,top
80,3762.6,api.urb,m,top
81,3851.8,api.urb,m,top
82,3933.4,api.urb,m,top
83,3982.8,api.urb,m,top
84,4002.1,api.urb,m,top
85,3990.1,api.urb,m,top
86,3950.8,api.urb,m,top
87,3855,api.urb,m,top
88,3721.2,api.urb,m,top
89,3550.7,api.urb,m,top
90,3345.9,api.urb,m,top
91,3092.1,api.urb,m,top
92,2817.6,api.urb,m,top
93,2514.7,api.urb,m,top
94,2196.4,api.urb,m,top
95,1855.1,api.urb,m,top
96,1543.2,api.urb,m,top
97,1258.2,api.urb,m,top
98,1004.4,api.urb,m,top
99,784.9,api.urb,m,top
100,599.1,api.urb,m,top
101,447.6,api.urb,m,top
102,327.3,api.urb,m,top
103,234.2,api.urb,m,top
104,164.1,api.urb,m,top
105,327.7,api.urb,m,top
65,1317.6,api.urb,m,van
66,1519.2,api.urb,m,van
67,1717.7,api.urb,m,van
68,1918.4,api.urb,m,van
69,2118.8,api.urb,m,van
70,2316.6,api.urb,m,van
71,2509.2,api.urb,m,van
72,2694.3,api.urb,m,van
73,2869.1,api.urb,m,van
74,3031.3,api.urb,m,van
75,3178.4,api.urb,m,van
76,3308.2,api.urb,m,van
77,3418.7,api.urb,m,van
78,3508.2,api.urb,m,van
79,3575.2,api.urb,m,van
80,3618.7,api.urb,m,van
81,3638,api.urb,m,van
82,3632.7,api.urb,m,van
83,3603.1,api.urb,m,van
84,3549.8,api.urb,m,van
85,3473.7,api.urb,m,van
86,3376.3,api.urb,m,van
87,3259.3,api.urb,m,van
88,3124.9,api.urb,m,van
89,2975.3,api.urb,m,van
90,2813.1,api.urb,m,van
91,2641.1,api.urb,m,van
92,2461.9,api.urb,m,van
93,2278.4,api.urb,m,van
94,2093.2,api.urb,m,van
95,1908.9,api.urb,m,van
96,1727.9,api.urb,m,van
97,1552.2,api.urb,m,van
98,1383.6,api.urb,m,van
99,1223.8,api.urb,m,van
100,1073.9,api.urb,m,van
101,934.8,api.urb,m,van
102,807.2,api.urb,m,van
103,691.2,api.urb,m,van
104,587,api.urb,m,van
105,2569.4,api.urb,m,van
65,1567.8,api.urb,m,gom
66,1702.6,api.urb,m,gom
67,1834.1,api.urb,m,gom
68,1972.3,api.urb,m,gom
69,2116.8,api.urb,m,gom
70,2267,api.urb,m,gom
71,2422.1,api.urb,m,gom
72,2581.3,api.urb,m,gom
73,2743.1,api.urb,m,gom
74,2906.1,api.urb,m,gom
75,3068.3,api.urb,m,gom
76,3227.5,api.urb,m,gom
77,3381.2,api.urb,m,gom
78,3526.3,api.urb,m,gom
79,3659.6,api.urb,m,gom
80,3777.5,api.urb,m,gom
81,3876.2,api.urb,m,gom
82,3951.8,api.urb,m,gom
83,4000.2,api.urb,m,gom
84,4017.7,api.urb,m,gom
85,4000.8,api.urb,m,gom
86,3946.7,api.urb,m,gom
87,3853.4,api.urb,m,gom
88,3719.9,api.urb,m,gom
89,3546.6,api.urb,m,gom
90,3335.7,api.urb,m,gom
91,3090.6,api.urb,m,gom
92,2816.9,api.urb,m,gom
93,2521.5,api.urb,m,gom
94,2212.8,api.urb,m,gom
95,1900.1,api.urb,m,gom
96,1593,api.urb,m,gom
97,1300.8,api.urb,m,gom
98,1032,api.urb,m,gom
99,793,api.urb,m,gom
100,588.3,api.urb,m,gom
101,419.9,api.urb,m,gom
102,287.1,api.urb,m,gom
103,187.2,api.urb,m,gom
104,115.9,api.urb,m,gom
105,138.1,api.urb,m,gom
65,1476.6,api.rur,m,obs
66,1588,api.rur,m,obs
67,1716.2,api.rur,m,obs
68,1851.1,api.rur,m,obs
69,1980.3,api.rur,m,obs
70,2184.8,api.rur,m,obs
