idade,sexo,grupo,lx.obs,lx.top,lx.van,lx.gom
65,m,atc,1,1,1,1
66,m,atc,0.986574275,0.986480723,0.9847651,0.986244445
67,m,atc,0.971945176,0.971661697,0.96889247,0.97120408
68,m,atc,0.955661597,0.955505897,0.95221244,0.954876791
69,m,atc,0.937404372,0.937826879,0.934482,0.937181988
70,m,atc,0.918340126,0.918622891,0.91548306,0.918040372
71,m,atc,0.897589222,0.897711697,0.89502554,0.897375614
72,m,atc,0.875146516,0.875325579,0.87295073,0.875116391
73,m,atc,0.851397586,0.851248292,0.84913483,0.851198806
74,m,atc,0.825435909,0.825512653,0.82349245,0.82556921
75,m,atc,0.798681048,0.798069123,0.79597973,0.798187456
76,m,atc,0.769679627,0.768810774,0.76659713,0.769030561
77,m,atc,0.738273391,0.737885509,0.73539129,0.738096758
78,m,atc,0.704890831,0.705296342,0.70245606,0.70540986
79,m,atc,0.670489039,0.671118175,0.66793232,0.671023852
80,m,atc,0.634858907,0.635396987,0.63200647,0.63502752
81,m,atc,0.597489276,0.597867724,0.59490749,0.597548917
82,m,atc,0.55908531,0.559122881,0.55690252,0.558759371
83,m,atc,0.51974412,0.519228789,0.51829097,0.518876657
84,m,atc,0.478903942,0.478507635,0.47939727,0.478166922
85,m,atc,0.437367052,0.437269996,0.44056252,0.43694485
86,m,atc,0.396649026,0.395849566,0.40213515,0.395571565
87,m,atc,0.354681234,0.354527987,0.36446118,0.354449743
88,m,atc,0.312459925,0.313930967,0.32787425,0.314015518
89,m,atc,0.273229066,0.274502251,0.29268597,0.274726867
90,m,atc,0.237465418,0.236684549,0.25917708,0.237048447
91,m,atc,0.200864725,0.200903068,0.22758967,0.201433174
92,m,atc,0.168371134,0.167744355,0.19812106,0.168301274
93,m,atc,0.138718689,0.137492318,0.1709194,0.138018035
94,m,atc,0.110725844,0.110508936,0.14608132,0.110871966
95,m,atc,0.087201672,0.087004162,0.12365175,0.087055511
96,m,atc,0.066908534,0.067250921,0.10362561,0.066650642
97,m,atc,0.05074473,0.051030009,0.08595153,0.049621602
98,m,atc,0.038338997,0.037988789,0.07053713,0.035816566
99,m,atc,0.027253943,0.027733138,0.05725542,0.024979056
100,m,atc,0.019053641,0.01984677,0.04595223,0.016768703
101,m,atc,0.014414494,0.013929816,0.03645384,0.010789411
102,m,atc,0.009464062,0.009589289,0.02857467,0.006621695
103,m,atc,0.006123805,0.006476541,0.02212455,0.003854968
104,m,atc,0.003806689,0.004294245,0.01691512,0.002115479
105,m,atc,0.002396804,0.002797614,0.01276542,0.001086324
65,m,api.urb,1,1,1,1
66,m,api.urb,0.988122207,0.986108042,0.98682401,0.98432155
67,m,api.urb,0.971442533,0.970609295,0.97163234,0.967295343
68,m,api.urb,0.953161815,0.95342023,0.95445505,0.948953909
69,m,api.urb,0.933380489,0.93429365,0.93527145,0.929230702
70,m,api.urb,0.911986987,0.913178483,0.9140837,0.9080629
71,m,api.urb,0.888381711,0.88982634,0.89091801,0.885393193
72,m,api.urb,0.865271985,0.865016445,0.86582555,0.861171869
73,m,api.urb,0.839879804,0.838538562,0.83888283,0.835359202
74,m,api.urb,0.811987778,0.810460454,0.81019179,0.807928146
75,m,api.urb,0.780812564,0.780760294,0.77987919,0.778867322
76,m,api.urb,0.750996871,0.749356637,0.74809563,0.748184265
77,m,api.urb,0.717476997,0.71662509,0.71501392,0.715908869
78,m,api.urb,0.682958072,0.682607683,0.68082696,0.682096951
79,m,api.urb,0.645061468,0.647417051,0.64574509,0.646833798
80,m,api.urb,0.609678968,0.611129527,0.60999296,0.610237542
81,m,api.urb,0.57308756,0.573503956,0.57380596,0.572462134
82,m,api.urb,0.535839013,0.534985638,0.53742635,0.533699677
83,m,api.urb,0.495166029,0.495651309,0.5010991,0.494181797
84,m,api.urb,0.456606177,0.455823568,0.46506763,0.454179727
85,m,api.urb,0.416395335,0.415802884,0.42956947,0.414002727
86,m,api.urb,0.376266372,0.375901591,0.39483212,0.373994514
87,m,api.urb,0.336756535,0.336393141,0.36106897,0.334527373
88,m,api.urb,0.297712613,0.297843486,0.32847573,0.295993737
89,m,api.urb,0.258443073,0.260631284,0.29722723,0.25879518
90,m,api.urb,0.224644693,0.225124111,0.2674747,0.223328942
91,m,api.urb,0.191894554,0.191665371,0.23934381,0.189972399
92,m,api.urb,0.162223695,0.16074457,0.21293327,0.159066198
93,m,api.urb,0.133931001,0.132568403,0.18831419,0.130897088
94,m,api.urb,0.109152001,0.107421485,0.1655301,0.105681793
95,m,api.urb,0.086349898,0.085457506,0.14459773,0.083553489
96,m,api.urb,0.066368103,0.066906642,0.12550832,0.064552484
97,m,api.urb,0.050554441,0.051474243,0.10822958,0.048622596
98,m,api.urb,0.038325389,0.038892388,0.09270806,0.035614252
99,m,api.urb,0.027861549,0.02884828,0.07887196,0.025294738
100,m,api.urb,0.021028696,0.020999269,0.06663414,0.017365075
101,m,api.urb,0.014031945,0.015008233,0.05589528,0.0114821
102,m,api.urb,0.010284541,0.01053227,0.04654709,0.007283424
103,m,api.urb,0.007653612,0.007259572,0.03847547,0.00441238
104,m,api.urb,0.005204456,0.004917672,0.03156341,0.002539976
105,m,api.urb,0.003311927,0.003276603,0.0256937,0.001381319
65,m,api.rur,1,1,1,1
66,m,api.rur,0.98523355,0.98532664,0.98503289,0.98533579
67,m,api.rur,0.96935365,0.96940742,0.96908238,0.969404743
68,m,api.rur,0.95219169,0.95223719,0.9520568,0.952227575
69,m,api.rur,0.93368115,0.93364736,0.93379169,0.933737404
70,m,api.rur,0.91387822,0.91366655,0.91414464,0.913869911
71,m,api.rur,0.89202975,0.89213611,0.89299776,0.892564901
72,m,api.rur,0.86946181,0.86937924,0.87026023,0.869768122
73,m,api.rur,0.84589029,0.84520724,0.84587066,0.845433382
74,m,api.rur,0.81970609,0.81968339,0.81979938,0.819524958
75,m,api.rur,0.79187572,0.79278543,0.79205024,0.792020303
76,m,api.rur,0.76300611,0.76443291,0.76266197,0.762913029
77,m,api.rur,0.73270232,0.73379642,0.73170889,0.732216129
78,m,api.rur,0.70060892,0.70081984,0.6993009,0.69996537
79,m,api.rur,0.6658581,0.66553202,0.66558259,0.666222777
80,m,api.rur,0.63110998,0.62795007,0.63073143,0.631080057
81,m,api.rur,0.59452616,0.58777993,0.59495504,0.594661806
82,m,api.rur,0.55568085,0.54758498,0.55848743,0.557128272
83,m,api.rur,0.51583677,0.5074105,0.52158441,0.518677415
84,m,api.rur,0.47633314,0.46753239,0.4845181,0.479545961
85,m,api.rur,0.43687475,0.4281755,0.44757087,0.440009112
86,m,api.rur,0.39663336,0.38955077,0.41102863,0.400378566
87,m,api.rur,0.35476372,0.35185595,0.37517402,0.360998519
88,m,api.rur,0.31556875,0.31549147,0.34027941,0.322239352
89,m,api.rur,0.27635599,0.28066121,0.30660023,0.284488849
90,m,api.rur,0.24084663,0.2475493,0.27436876,0.24814089
91,m,api.rur,0.20771135,0.21631554,0.24378868,0.213581829
92,m,api.rur,0.17832353,0.18726626,0.21503056,0.18117501
93,m,api.rur,0.15062463,0.1604649,0.18822854,0.151244171
94,m,api.rur,0.12590341,0.13608077,0.16347826,0.124056835
95,m,api.rur,0.10545405,0.11420575,0.14083614,0.099809011
96,m,api.rur,0.08880341,0.09507802,0.12032,0.078612769
97,m,api.rur,0.07414335,0.07835712,0.10191093,0.060488218
98,m,api.rur,0.06113268,0.06392343,0.08555636,0.045361252
99,m,api.rur,0.05058952,0.05162511,0.071174,0.033067989
100,m,api.rur,0.04215357,0.04127958,0.05865653,0.023366091
101,m,api.rur,0.03484705,0.03270312,0.04787683,0.015952347
102,m,api.rur,0.02755493,0.0256799,0.03869331,0.010484911
103,m,api.rur,0.02198848,0.01999783,0.03095529,0.006607828
104,m,api.rur,0.0175146,0.01545513,0.02450804,0.003975006
105,m,api.rur,0.01373694,0.01186387,0.01919742,0.002270763
65,m,bpc,1,1,1,1
66,m,bpc,0.98021473,0.97529051,0.969114423,0.973927357
67,m,bpc,0.95149078,0.9487865,0.938270353,0.94641278
68,m,bpc,0.92156667,0.92065648,0.907543171,0.917734029
69,m,bpc,0.89074372,0.89071844,0.876675282,0.887907203
70,m,bpc,0.85825003,0.85912291,0.84545052,0.85695916
71,m,bpc,0.82589687,0.82573418,0.813694492,0.824928676
72,m,bpc,0.79353223,0.79199902,0.78127525,0.791867582
73,m,bpc,0.75955946,0.75774912,0.748104045,0.757841837
74,m,bpc,0.72461059,0.72318417,0.714135944,0.722932492
75,m,bpc,0.68885901,0.68836961,0.679370059,0.687236502
76,m,bpc,0.65499236,0.65329312,0.643849192,0.650867321
77,m,bpc,0.61724755,0.61713349,0.607658689,0.61395522
78,m,bpc,0.58034812,0.58000466,0.570924353,0.576647269
79,m,bpc,0.54178209,0.54210142,0.533809298,0.539106896
80,m,bpc,0.50475443,0.50358175,0.496509682,0.501512975
81,m,bpc,0.4654025,0.46427875,0.459249329,0.464058361
82,m,bpc,0.42854538,0.42617378,0.4222733,0.426947833
83,m,bpc,0.39178528,0.38925814,0.38584058,0.390395397
84,m,bpc,0.35549282,0.35372407,0.35021609,0.354620936
85,m,bpc,0.32064422,0.31969581,0.315662299,0.319846222
86,m,bpc,0.28953769,0.2872687,0.282430791,0.286290338
87,m,bpc,0.25677112,0.25651301,0.250754123,0.254164598
88,m,bpc,0.22627418,0.22764755,0.22083837,0.22366711
89,m,bpc,0.19720456,0.20071586,0.192856708,0.194977166
90,m,bpc,0.17120019,0.17573941,0.166944337,0.16824969
91,m,bpc,0.14891699,0.15271759,0.143195011,0.143610029
92,m,bpc,0.12926879,0.13175429,0.121659318,0.12114938
93,m,bpc,0.1103814,0.11277627,0.102344771,0.100921176
94,m,bpc,0.09250381,0.09579164,0.085217664,0.082938727
95,m,bpc,0.07756007,0.08076136,0.07020653,0.067174385
96,m,bpc,0.06641481,0.06775733,0.057206952,0.053560404
97,m,bpc,0.05498728,0.05647224,0.046087401,0.041991613
98,m,bpc,0.04585026,0.04676668,0.03669573,0.032329821
99,m,bpc,0.03811016,0.03849543,0.028865931,0.024409814
100,m,bpc,0.03163084,0.03150743,0.022424776,0.018046584
101,m,bpc,0.02440093,0.02566402,0.017197992,0.013043361
102,m,bpc,0.01974008,0.02081549,0.013015709,0.009199889
103,m,bpc,0.01645007,0.01682236,0.009716957,0.006320371
104,m,bpc,0.01485076,0.01355712,0.007153121,0.004220499
105,m,bpc,0.01320896,0.01090419,0.005190301,0.002733118
65,f,atc,1,1,1,1
66,f,atc,0.993034735,0.992698982,0.99199206,0.992700054
67,f,atc,0.98490126,0.984583662,0.98366087,0.984574386
68,f,atc,0.975633544,0.975591028,0.97480361,0.975565667
69,f,atc,0.965159713,0.965549893,0.9651998,0.965588211
70,f,atc,0.95353482,0.954409688,0.95463968,0.954550567
71,f,atc,0.941495605,0.941939645,0.94292625,0.9423558
72,f,atc,0.927933707,0.928396992,0.92987753,0.928901996
73,f,atc,0.914488714,0.91356356,0.91532933,0.914083055
74,f,atc,0.897762792,0.897422735,0.89913809,0.897789833
75,f,atc,0.880062586,0.879896246,0.88118398,0.879911708
76,f,atc,0.861034206,0.860782463,0.86137399,0.860338648
77,f,atc,0.841109789,0.839791084,0.83964488,0.838963872
78,f,atc,0.816838813,0.816813299,0.81596592,0.815687185
79,f,atc,0.790741303,0.791707853,0.79034119,0.790419067
80,f,atc,0.762330616,0.764338349,0.76281134,0.763085579
81,f,atc,0.733368362,0.734318399,0.73345466,0.733634117
82,f,atc,0.700879866,0.702309602,0.70238731,0.702040007
83,f,atc,0.667581927,0.668118867,0.66976262,0.66831385
84,f,atc,0.633017548,0.631926453,0.63576933,0.632509457
85,f,atc,0.597935389,0.593896208,0.6006288,0.594732069
86,f,atc,0.55658468,0.554148624,0.56459119,0.555146425
87,f,atc,0.513796596,0.512381826,0.52793049,0.513984057
88,f,atc,0.473104809,0.469026632,0.49093884,0.471549007
89,f,atc,0.4243795,0.424651229,0.45391988,0.428220982
90,f,atc,0.377057697,0.379619042,0.4171817,0.384454807
91,f,atc,0.333975397,0.334631818,0.38102939,0.340774992
92,f,atc,0.287951226,0.29057299,0.34575755,0.29776428
93,f,atc,0.241952627,0.248088622,0.31164308,0.256045328
94,f,atc,0.202175984,0.208002012,0.27893846,0.216255211
95,f,atc,0.172188914,0.171009364,0.24786583,0.179013228
96,f,atc,0.140881839,0.137609187,0.21861217,0.144883624
97,f,atc,0.112065099,0.108417764,0.19132568,0.114336072
98,f,atc,0.085724024,0.083519873,0.16611352,0.087708072
99,f,atc,0.064631047,0.062823708,0.14304107,0.065174314
100,f,atc,0.047514148,0.046082735,0.12213259,0.046728383
101,f,atc,0.034555744,0.032939829,0.10337321,0.032181348
102,f,atc,0.023182968,0.022925887,0.08671223,0.021179818
103,f,atc,0.016364448,0.015527556,0.07206732,0.013242827
104,f,atc,0.012273336,0.010231901,0.05932961,0.00781318
105,f,atc,0.006608719,0.006559245,0.04836916,0.004315419
65,f,api.urb,1,1,1,1
66,f,api.urb,0.992251936,0.99226843,0.99169694,0.992416336
67,f,api.urb,0.983868642,0.98380616,0.98308359,0.984011952
68,f,api.urb,0.974638222,0.97457345,0.97396595,0.974736215
69,f,api.urb,0.964629029,0.96442183,0.96413023,0.96450923
70,f,api.urb,0.952938164,0.9533296,0.9533733,0.953246257
71,f,api.urb,0.941171564,0.94109904,0.94150443,0.940858043
72,f,api.urb,0.927468164,0.92766257,0.92834755,0.927251365
73,f,api.urb,0.91270226,0.91277723,0.91374374,0.912329821
74,f,api.urb,0.896538373,0.8963979,0.89755394,0.895994931
75,f,api.urb,0.878560028,0.8784168,0.87966183,0.878147599
76,f,api.urb,0.858097464,0.85859724,0.85997676,0.858690012
77,f,api.urb,0.837651677,0.83717455,0.83843646,0.837528024
78,f,api.urb,0.814170682,0.8140877,0.81500969,0.814574115
79,f,api.urb,0.789040821,0.78924366,0.78969836,0.789750952
80,f,api.urb,0.762900043,0.76255444,0.76253925,0.762995621
81,f,api.urb,0.734037378,0.73368989,0.73360501,0.734264537
82,f,api.urb,0.703522651,0.70266493,0.70300449,0.703539013
83,f,api.urb,0.668133114,0.66926254,0.67088207,0.670831424
84,f,api.urb,0.633352045,0.63363119,0.63741615,0.636191811
85,f,api.urb,0.595872134,0.59591056,0.60281657,0.599714708
86,f,api.urb,0.555929065,0.55620495,0.56732112,0.561545831
87,f,api.urb,0.51416589,0.51451839,0.53119099,0.521888165
88,f,api.urb,0.470873327,0.47127736,0.49470543,0.481006821
89,f,api.urb,0.42813286,0.42704227,0.45815564,0.439231941
90,f,api.urb,0.38266344,0.38216637,0.42183814,0.396958752
91,f,api.urb,0.337081666,0.33733728,0.38604776,0.354643886
92,f,api.urb,0.293946487,0.29342161,0.35107058,0.312797061
93,f,api.urb,0.250310789,0.25104857,0.317177,0.271967413
94,f,api.urb,0.210518065,0.21102477,0.28461536,0.2327241
95,f,api.urb,0.173375053,0.17403299,0.25360608,0.195631357
96,f,api.urb,0.140666295,0.14056318,0.22433696,0.161218902
97,f,api.urb,0.112309886,0.11180784,0.19695941,0.129949546
98,f,api.urb,0.08760943,0.08754883,0.17158608,0.10218678
99,f,api.urb,0.067753929,0.06746036,0.14828976,0.078165982
