"idade","sexo","grupo","pop","obito","mx","maen"
65,"m","atc",159147,2163,0.0135912081283342,0.0154475863875482
66,"m","atc",145258,2170,0.014938936237591,0.0162491457159492
67,"m","atc",135838,2295,0.0168951250754575,0.0173650317017606
68,"m","atc",124530,2402,0.019288524853449,0.0187952443449826
69,"m","atc",109704,2254,0.0205461970393058,0.020539783645615
70,"m","atc",98756,2257,0.0228543075863745,0.0225986496036581
71,"m","atc",93089,2357,0.0253198551923428,0.0249718422191116
72,"m","atc",83205,2289,0.0275103659635839,0.0276593614919758
73,"m","atc",74374,2303,0.0309651222201307,0.0306612074222507
74,"m","atc",67897,2237,0.0329469637833778,0.0339773800099362
75,"m","atc",65922,2438,0.0369831012408604,0.0376078792550323
76,"m","atc",59826,2492,0.0416541303112359,0.0415527051575393
77,"m","atc",53131,2458,0.0462630102953078,0.0458118577174569
78,"m","atc",47716,2387,0.0500251487970492,0.0503853369347854
79,"m","atc",45099,2462,0.0545910108871594,0.0552731428095247
80,"m","atc",39886,2419,0.0606478463621321,0.0604752753416748
81,"m","atc",33745,2241,0.0664098384945918,0.0659917345312358
82,"m","atc",29150,2126,0.0729331046312178,0.0718225203782077
83,"m","atc",26690,2183,0.081790932933683,0.0779676328825906
84,"m","atc",23471,2128,0.0906650760512974,0.0844270720443844
85,"m","atc",20155,1968,0.097643264698586,0.0912008378635892
86,"m","atc",16533,1847,0.111715962015363,0.0982889303402051
87,"m","atc",13502,1709,0.126573840912457,0.105691349474232
88,"m","atc",11085,1485,0.133964817320704,0.11340809526567
89,"m","atc",8832,1237,0.140058876811594,0.121439167714519
90,"m","atc",6988,1167,0.167000572409845,0.129784566820779
91,"m","atc",5301,933,0.176004527447651,0.138444292584451
92,"m","atc",3982,769,0.193119035660472,0.147418345005533
93,"m","atc",2954,663,0.224441435341909,0.156706724084027
94,"m","atc",2074,493,0.237704918032787,0.166309429819932
95,"m","atc",1310,345,0.263358778625954,0.176226462213249
96,"m","atc",979,269,0.274770173646578,0.186457821263977
97,"m","atc",675,188,0.278518518518518,0.197003506972116
98,"m","atc",429,145,0.337995337995338,0.207863519337667
99,"m","atc",288,102,0.354166666666667,0.219037858360628
100,"m","atc",202,56,0.277227722772277,0.230526524041002
101,"m","atc",123,51,0.414634146341463,0.242329516378787
102,"m","atc",63,27,0.428571428571429,0.254446835373983
103,"m","atc",45,21,0.466666666666667,0.266878481026591
104,"m","atc",22,10,0.454545454545455,0.279624453336611
105,"m","atc",15,6,0.4,0.292684752304042
106,"m","atc",6,1,0.166666666666667,0.306059377928885
107,"m","atc",5,3,0.6,0.319748330211139
108,"m","atc",2,0,0,0.333751609150805
109,"m","atc",2,0,0,0.348069214747883
110,"m","atc",1,0,0,0.362701147002373
111,"m","atc",0,0,NA,0.377647405914274
112,"m","atc",2,0,0,0.392907991483587
113,"m","atc",0,0,NA,0.408482903710312
114,"m","atc",0,0,NA,0.424372142594449
115,"m","atc",0,0,NA,0.440575708135998
65,"m","api.urb",90943,1092,0.0120075211945944,0.0133354170490154
66,"m","api.urb",97334,1657,0.0170238560009863,0.0155139202495615
67,"m","api.urb",96437,1832,0.0189968580524073,0.0178364625285475
68,"m","api.urb",87025,1825,0.0209709853490376,0.0203030438859733
69,"m","api.urb",77805,1804,0.0231861705545916,0.0229136643218389
70,"m","api.urb",72380,1898,0.026222713456756,0.0256683238361444
71,"m","api.urb",71179,1876,0.0263560881720732,0.0285670224288898
72,"m","api.urb",63795,1900,0.0297828983462654,0.031609760100075
73,"m","api.urb",57595,1945,0.0337702925601181,0.0347965368497001
74,"m","api.urb",52548,2057,0.0391451625180787,0.038127352677765
75,"m","api.urb",54253,2112,0.0389287228356036,0.0416022075842698
76,"m","api.urb",48409,2210,0.0456526678923341,0.0452211015692144
77,"m","api.urb",42558,2098,0.0492974293904789,0.0489840346325989
78,"m","api.urb",37286,2128,0.057072359598777,0.0528910067744232
79,"m","api.urb",34221,1930,0.056398118114608,0.0569420179946874
80,"m","api.urb",28267,1749,0.0618742703505855,0.0611370682933915
81,"m","api.urb",23921,1607,0.0671794657413988,0.0654761576705354
82,"m","api.urb",21521,1698,0.0788996793829283,0.0699592861261192
83,"m","api.urb",21178,1716,0.0810274813485693,0.0745864536601428
84,"m","api.urb",19355,1783,0.0921208989925084,0.0793576602726063
85,"m","api.urb",18143,1837,0.10125117125062,0.0842729059635097
86,"m","api.urb",16224,1798,0.110823471400394,0.0893321907328529
87,"m","api.urb",14617,1799,0.123075870561675,0.094535514580636
88,"m","api.urb",12810,1809,0.141217798594848,0.099882877506859
89,"m","api.urb",10334,1446,0.139926456357654,0.105374279511522
90,"m","api.urb",8229,1294,0.157248754405153,0.111009720594624
91,"m","api.urb",6415,1075,0.167575993764614,0.116789200756167
92,"m","api.urb",4836,924,0.19106699751861,0.12271271999615
93,"m","api.urb",3615,737,0.20387275242047,0.128780278314572
94,"m","api.urb",2525,589,0.233267326732673,0.134991875711434
95,"m","api.urb",1712,448,0.261682242990654,0.141347512186736
96,"m","api.urb",1305,353,0.270498084291188,0.147847187740478
97,"m","api.urb",963,265,0.275181723779855,0.15449090237266
98,"m","api.urb",525,166,0.316190476190476,0.161278656083281
99,"m","api.urb",415,116,0.279518072289157,0.168210448872343
100,"m","api.urb",228,91,0.399122807017544,0.175286280739844
101,"m","api.urb",146,45,0.308219178082192,0.182506151685786
102,"m","api.urb",75,22,0.293333333333333,0.189870061710167
103,"m","api.urb",42,16,0.380952380952381,0.197378010812988
104,"m","api.urb",27,12,0.444444444444444,0.205029998994249
105,"m","api.urb",15,13,0.866666666666667,0.21282602625395
106,"m","api.urb",10,2,0.2,0.220766092592091
107,"m","api.urb",5,1,0.2,0.228850198008671
108,"m","api.urb",2,0,0,0.237078342503692
109,"m","api.urb",0,0,NA,0.245450526077152
110,"m","api.urb",1,0,0,0.253966748729052
111,"m","api.urb",0,0,NA,0.262627010459392
112,"m","api.urb",1,0,0,0.271431311268172
113,"m","api.urb",1,0,0,0.280379651155392
114,"m","api.urb",0,0,NA,0.289472030121052
115,"m","api.urb",0,0,NA,0.298708448165152
65,"m","api.rur",127085,1902,0.0149663610969036,0.0151724424380982
66,"m","api.rur",119270,1938,0.0162488471535172,0.0163250431345149
67,"m","api.rur",122826,2194,0.0178626675133929,0.0177244654141389
68,"m","api.rur",113903,2236,0.0196307384353353,0.0193707092769704
69,"m","api.rur",106079,2274,0.0214368536656643,0.0212637747230092
70,"m","api.rur",100923,2442,0.0241966647840433,0.0234036617522555
71,"m","api.rur",101898,2611,0.0256236628785648,0.0257903703647092
72,"m","api.rur",95841,2634,0.0274830187498044,0.0284239005603703
73,"m","api.rur",88737,2790,0.0314412251935495,0.0313042523392389
74,"m","api.rur",81215,2805,0.0345379548113033,0.034431425701315
75,"m","api.rur",89621,3328,0.0371341538255543,0.0378054206465986
76,"m","api.rur",76701,3108,0.040520984081042,0.0414262371750897
77,"m","api.rur",69023,3091,0.0447821740579227,0.0452938752867883
78,"m","api.rur",63957,3253,0.0508622981065403,0.0494083349816944
79,"m","api.rur",64516,3457,0.0535836071672143,0.0537696162598081
80,"m","api.rur",54910,3278,0.0596976871243854,0.0583777191211294
81,"m","api.rur",49493,3343,0.0675449053401491,0.0632326435656582
82,"m","api.rur",47775,3553,0.0743694400837258,0.0683343895933947
83,"m","api.rur",47017,3744,0.0796307718484803,0.0736829572043388
84,"m","api.rur",41913,3622,0.0864171020924296,0.0792783463984904
85,"m","api.rur",37490,3620,0.0965590824219792,0.0851205571758498
86,"m","api.rur",30302,3377,0.11144478912283,0.0912095895364168
87,"m","api.rur",25859,3024,0.11694187710275,0.0975454434801914
88,"m","api.rur",22673,3004,0.132492391831694,0.104128119007174
89,"m","api.rur",19867,2728,0.137313132329994,0.110957616117364
90,"m","api.rur",17754,2623,0.147741354061057,0.118033934810762
91,"m","api.rur",14791,2252,0.152254749509837,0.125357075087367
92,"m","api.rur",12149,2046,0.168408922545065,0.13292703694718
93,"m","api.rur",9810,1754,0.178797145769623,0.140743820390201
94,"m","api.rur",8440,1492,0.176777251184834,0.14880742541643
95,"m","api.rur",8015,1374,0.171428571428571,0.157117852025867
96,"m","api.rur",6330,1139,0.179936808846761,0.165675100218511
97,"m","api.rur",5417,1042,0.192357393391176,0.174479169994363
98,"m","api.rur",4440,838,0.188738738738739,0.183530061353423
99,"m","api.rur",3540,644,0.181920903954802,0.192827774295691
100,"m","api.rur",2661,505,0.18977827884254,0.202372308821167
101,"m","api.rur",1750,409,0.233714285714286,0.212163664929851
102,"m","api.rur",1206,271,0.224709784411277,0.222201842621742
103,"m","api.rur",1011,229,0.22650840751731,0.232486841896842
104,"m","api.rur",728,176,0.241758241758242,0.243018662755149
105,"m","api.rur",541,110,0.203327171903882,0.253797305196665
106,"m","api.rur",267,49,0.183520599250936,0.264822769221388
107,"m","api.rur",232,46,0.198275862068966,0.276095054829319
108,"m","api.rur",197,46,0.233502538071066,0.287614162020459
109,"m","api.rur",121,16,0.132231404958678,0.299380090794806
110,"m","api.rur",59,8,0.135593220338983,0.311392841152361
111,"m","api.rur",23,4,0.173913043478261,0.323652413093125
112,"m","api.rur",18,5,0.277777777777778,0.336158806617096
113,"m","api.rur",23,1,0.0434782608695652,0.348912021724275
114,"m","api.rur",17,3,0.176470588235294,0.361912058414663
115,"m","api.rur",0,1,Inf,0.375158916688259
65,"m","bpc",34306,691,0.0201422491692415,0.0317444816003021
66,"m","bpc",47748,1420,0.0297394655273519,0.0323417386943082
67,"m","bpc",53674,1715,0.0319521556060662,0.033293918132911
68,"m","bpc",54858,1866,0.0340150935141638,0.0346010199161105
69,"m","bpc",53099,1973,0.0371570086065651,0.0362630440439066
70,"m","bpc",52914,2033,0.0384208338057981,0.0382799905162995
71,"m","bpc",55466,2217,0.0399704323369271,0.0406518593332891
72,"m","bpc",52436,2294,0.0437485696849493,0.0433786504948755
73,"m","bpc",47478,2236,0.0470954968617044,0.0464603640010586
74,"m","bpc",44379,2245,0.0505869893418058,0.0498969998518385
75,"m","bpc",47220,2380,0.0504023718763236,0.0536885580472151
76,"m","bpc",37650,2234,0.05933598937583,0.0578350385871886
77,"m","bpc",31482,1940,0.0616225144527031,0.0623364414717588
78,"m","bpc",27787,1910,0.0687371792564868,0.0671927667009259
79,"m","bpc",29267,2071,0.07076229200123,0.0724040142746898
80,"m","bpc",25923,2103,0.0811248698067353,0.0779701841930505
81,"m","bpc",20592,1698,0.0824592074592075,0.0838912764560081
82,"m","bpc",17596,1577,0.089622641509434,0.0901672910635626
83,"m","bpc",15309,1487,0.0971324057743811,0.0967982280157139
84,"m","bpc",12786,1318,0.103081495385578,0.103784087312462
85,"m","bpc",10622,1083,0.101958199962342,0.111124868953807
86,"m","bpc",7311,877,0.119956230337847,0.118820572939749
87,"m","bpc",5908,746,0.126269465132024,0.126871199270288
88,"m","bpc",4516,620,0.137289636846767,0.135276747945424
89,"m","bpc",3223,455,0.141172820353708,0.144037218965157
90,"m","bpc",2356,328,0.139219015280136,0.153152612329487
91,"m","bpc",1699,240,0.141259564449676,0.162622928038414
92,"m","bpc",1364,215,0.157624633431085,0.172448166091938
93,"m","bpc",993,175,0.176233635448137,0.182628326490058
94,"m","bpc",808,142,0.175742574257426,0.193163409232776
95,"m","bpc",788,122,0.154822335025381,0.204053414320091
96,"m","bpc",494,93,0.188259109311741,0.215298341752003
97,"m","bpc",458,83,0.181222707423581,0.226898191528512
98,"m","bpc",320,59,0.184375,0.238852963649618
99,"m","bpc",296,55,0.185810810810811,0.251162658115321
100,"m","bpc",217,56,0.258064516129032,0.263827274925621
101,"m","bpc",161,34,0.211180124223602,0.276846814080518
102,"m","bpc",176,32,0.181818181818182,0.290221275580013
103,"m","bpc",137,14,0.102189781021898,0.303950659424104
104,"m","bpc",94,11,0.117021276595745,0.318034965612793
105,"m","bpc",80,15,0.1875,0.332474194146079
106,"m","bpc",43,7,0.162790697674419,0.347268345023962
107,"m","bpc",45,5,0.111111111111111,0.362417418246442
108,"m","bpc",59,9,0.152542372881356,0.377921413813519
109,"m","bpc",68,13,0.191176470588235,0.393780331725194
110,"m","bpc",40,7,0.175,0.409994171981466
111,"m","bpc",20,3,0.15,0.426562934582335
112,"m","bpc",10,0,0,0.443486619527801
113,"m","bpc",6,2,0.333333333333333,0.460765226817864
114,"m","bpc",4,2,0.5,0.478398756452525
115,"m","bpc",3,0,0,0.496387208431783
