"idade","sexo","grupo","pop","obito","mx","maen"
65,"f","atc",53209,373,0.00701009227762221,0.00806712947916908
66,"f","atc",47421,390,0.00822420446637566,0.00843386820483608
67,"f","atc",42732,404,0.00945427314424787,0.00904509940801651
68,"f","atc",38079,411,0.0107933506657213,0.00990082308871035
69,"f","atc",32680,396,0.0121175030599755,0.0110010392469176
70,"f","atc",29356,373,0.0127060907480583,0.0123457478826383
71,"f","atc",27431,398,0.0145091320039372,0.0139349489958724
72,"f","atc",24118,352,0.0145949083671946,0.0157686425866199
73,"f","atc",20749,383,0.0184587209022122,0.0178468286548809
74,"f","atc",19134,381,0.019912198181248,0.0201695072006552
75,"f","atc",18483,404,0.0218579234972678,0.022736678223943
76,"f","atc",16488,386,0.0234109655507035,0.0255483417247442
77,"f","atc",14106,413,0.0292783212817241,0.0286044977030588
78,"f","atc",12135,394,0.0324680675731356,0.0319051461588869
79,"f","atc",11343,415,0.0365864409768139,0.0354502870922283
80,"f","atc",9838,381,0.0387273836145558,0.0392399205030832
81,"f","atc",8145,369,0.0453038674033149,0.0432740463914515
82,"f","atc",7377,359,0.048664768876237,0.0475526647573332
83,"f","atc",6378,339,0.0531514581373471,0.0520757756007284
84,"f","atc",6000,342,0.057,0.056843378921637
85,"f","atc",5598,401,0.071632725973562,0.0618554747200589
86,"f","atc",4728,378,0.0799492385786802,0.0671120629959943
87,"f","atc",3929,324,0.0824637312293204,0.0726131437494432
88,"f","atc",3251,353,0.108581974776992,0.0783587169804054
89,"f","atc",2642,312,0.118092354277063,0.0843487826888811
90,"f","atc",2030,246,0.121182266009852,0.0905833408748701
91,"f","atc",1554,230,0.148005148005148,0.0970623915383726
92,"f","atc",1152,200,0.173611111111111,0.103785934679389
93,"f","atc",843,151,0.179122182680902,0.110753970297918
94,"f","atc",593,95,0.160202360876897,0.117966498393961
95,"f","atc",445,89,0.2,0.125423518967517
96,"f","atc",316,72,0.227848101265823,0.133125032018586
97,"f","atc",214,57,0.266355140186916,0.141071037547169
98,"f","atc",139,39,0.280575539568345,0.149261535553266
99,"f","atc",95,29,0.305263157894737,0.157696526036876
100,"f","atc",57,18,0.315789473684211,0.166376008997999
101,"f","atc",33,13,0.393939393939394,0.175299984436636
102,"f","atc",29,10,0.344827586206897,0.184468452352786
103,"f","atc",14,4,0.285714285714286,0.193881412746449
104,"f","atc",10,6,0.6,0.203538865617626
105,"f","atc",1,2,2,0.213440810966317
106,"f","atc",1,1,1,0.223587248792521
107,"f","atc",1,0,0,0.233978179096238
108,"f","atc",3,0,0,0.244613601877468
109,"f","atc",0,1,Inf,0.255493517136213
110,"f","atc",0,0,NA,0.26661792487247
111,"f","atc",1,0,0,0.277986825086241
112,"f","atc",0,0,NA,0.289600217777525
113,"f","atc",0,0,NA,0.301458102946323
114,"f","atc",0,0,NA,0.313560480592634
115,"f","atc",0,0,NA,0.325907350716459
65,"f","api.urb",123150,961,0.00780349167681689,0.0083666813903465
66,"f","api.urb",115857,983,0.00848459739161207,0.00872334723215726
67,"f","api.urb",113410,1069,0.00942597654527819,0.00931774384538736
68,"f","api.urb",104818,1082,0.0103226545059055,0.0101498712300368
69,"f","api.urb",93985,1146,0.012193435122626,0.0112197293861056
70,"f","api.urb",87811,1091,0.0124244115201968,0.0125273183135937
71,"f","api.urb",87477,1283,0.0146667123929719,0.0140726380125012
72,"f","api.urb",79821,1281,0.0160484083136017,0.015855688482828
73,"f","api.urb",71412,1276,0.0178681454097351,0.0178764697245741
74,"f","api.urb",66597,1349,0.0202561676952415,0.0201349817377396
75,"f","api.urb",69848,1646,0.0235654564196541,0.0226312245223245
76,"f","api.urb",63697,1536,0.0241141655023,0.0253651980783286
77,"f","api.urb",59162,1682,0.0284304114127311,0.0283369024057521
78,"f","api.urb",56588,1774,0.0313494027002191,0.031546337504595
79,"f","api.urb",58389,1967,0.033687852163935,0.0349935033748572
80,"f","api.urb",53446,2061,0.0385622871683568,0.0386784000165387
81,"f","api.urb",49301,2093,0.0424534999290075,0.0426010274296396
82,"f","api.urb",46278,2388,0.0516011927913912,0.0467613856141598
83,"f","api.urb",45240,2418,0.053448275862069,0.0511594745700994
84,"f","api.urb",42062,2565,0.060981408397128,0.0557952942974583
85,"f","api.urb",37732,2617,0.0693575744725962,0.0606688447962365
86,"f","api.urb",31734,2477,0.0780550828764102,0.0657801260664341
87,"f","api.urb",26769,2353,0.087900183047555,0.071129138108051
88,"f","api.urb",23148,2201,0.0950838085363746,0.0767158809210873
89,"f","api.urb",18010,2020,0.112159911160466,0.0825403545055429
90,"f","api.urb",14977,1897,0.126660880016025,0.0886025588614179
91,"f","api.urb",11418,1561,0.136713960413382,0.0949024939887121
92,"f","api.urb",8812,1413,0.160349523377213,0.101440159887426
93,"f","api.urb",6491,1121,0.172700662455708,0.108215556557559
94,"f","api.urb",4682,906,0.19350704826997,0.115228683999111
95,"f","api.urb",3370,702,0.208308605341246,0.122479542212083
96,"f","api.urb",2324,521,0.224182444061962,0.129968131196474
97,"f","api.urb",1554,384,0.247104247104247,0.137694450952284
98,"f","api.urb",982,251,0.255600814663951,0.145658501479514
99,"f","api.urb",563,156,0.27708703374778,0.153860282778163
100,"f","api.urb",364,109,0.299450549450549,0.162299794848231
101,"f","api.urb",209,66,0.315789473684211,0.170977037689719
102,"f","api.urb",118,43,0.364406779661017,0.179892011302626
103,"f","api.urb",46,17,0.369565217391304,0.189044715686952
104,"f","api.urb",33,10,0.303030303030303,0.198435150842698
105,"f","api.urb",18,3,0.166666666666667,0.208063316769863
106,"f","api.urb",11,1,0.0909090909090909,0.217929213468447
107,"f","api.urb",4,1,0.25,0.228032840938451
108,"f","api.urb",1,0,0,0.238374199179874
109,"f","api.urb",2,2,1,0.248953288192717
110,"f","api.urb",1,0,0,0.259770107976978
111,"f","api.urb",1,0,0,0.27082465853266
112,"f","api.urb",1,0,0,0.28211693985976
113,"f","api.urb",2,0,0,0.29364695195828
114,"f","api.urb",0,0,NA,0.305414694828219
115,"f","api.urb",0,0,NA,0.317420168469577
65,"f","api.rur",156023,1710,0.0109599225755177,0.0117700456146124
66,"f","api.rur",142766,1748,0.01224381155177,0.0121811068334653
67,"f","api.rur",147994,1859,0.0125613200535157,0.0128661591027791
68,"f","api.rur",137652,1831,0.0133016592566763,0.0138252024225538
69,"f","api.rur",128033,2082,0.016261432599408,0.0150582367927895
70,"f","api.rur",124200,2247,0.0180917874396135,0.0165652622134861
71,"f","api.rur",131843,2444,0.0185371995479472,0.0183462786846437
72,"f","api.rur",119865,2534,0.0211404496725483,0.0204012862062622
73,"f","api.rur",109897,2541,0.0231216502725279,0.0227302847783417
74,"f","api.rur",103261,2660,0.0257599674610937,0.025333274400882
