idade,sexo,grupo,ex,info
65,m,atc,18.16,obs
75,m,atc,11.31,obs
85,m,atc,6.27,obs
95,m,atc,3.29,obs
105,m,atc,2.5,obs
65,m,atc,18.16,top
75,m,atc,11.32,top
85,m,atc,6.27,top
95,m,atc,3.33,top
105,m,atc,2.28,top
65,m,atc,18.62,van
75,m,atc,11.96,van
85,m,atc,7.38,van
95,m,atc,4.68,van
105,m,atc,3.42,van
65,m,atc,18.13,gom
75,m,atc,11.29,gom
85,m,atc,6.22,gom
95,m,atc,3.02,gom
105,m,atc,1.41,gom
65,m,api.urb,17.76,obs
75,m,api.urb,11.14,obs
85,m,api.urb,6.32,obs
95,m,api.urb,3.36,obs
105,m,api.urb,1.15,obs
65,m,api.urb,17.76,top
75,m,api.urb,11.14,top
85,m,api.urb,6.34,top
95,m,api.urb,3.48,top
105,m,api.urb,2.41,top
65,m,api.urb,18.74,van
75,m,api.urb,12.4,van
85,m,api.urb,8.36,van
95,m,api.urb,5.88,van
105,m,api.urb,4.7,van
65,m,api.urb,17.66,gom
75,m,api.urb,11.09,gom
85,m,api.urb,6.24,gom
95,m,api.urb,3.13,gom
105,m,api.urb,1.54,gom
65,m,api.rur,18.4,obs
75,m,api.rur,11.76,obs
85,m,api.rur,7.01,obs
95,m,api.rur,5.18,obs
105,m,api.rur,4.92,obs
65,m,api.rur,18.38,top
75,m,api.rur,11.73,top
85,m,api.rur,7.21,top
95,m,api.rur,4.65,top
105,m,api.rur,3.72,top
65,m,api.rur,18.9,van
75,m,api.rur,12.39,van
85,m,api.rur,7.93,van
95,m,api.rur,5.22,van
105,m,api.rur,3.94,van
65,m,api.rur,18.23,gom
75,m,api.rur,11.55,gom
85,m,api.rur,6.57,gom
95,m,api.rur,3.33,gom
105,m,api.rur,1.67,gom
65,m,bpc,15.85,obs
75,m,bpc,10.59,obs
85,m,bpc,7.02,obs
95,m,bpc,5.52,obs
105,m,bpc,5.33,obs
65,m,bpc,15.84,top
75,m,bpc,10.59,top
85,m,bpc,7.05,top
95,m,bpc,5.12,top
105,m,bpc,4.59,top
65,m,bpc,15.46,van
75,m,bpc,10.33,van
85,m,bpc,6.5,van
95,m,bpc,4.15,van
105,m,bpc,3.01,van
65,m,bpc,15.57,gom
75,m,bpc,10.24,gom
85,m,bpc,6.3,gom
95,m,bpc,3.63,gom
105,m,bpc,2.18,gom
65,m,total,17.51,obs
75,m,total,11.49,obs
85,m,total,7.08,obs
95,m,total,4.99,obs
105,m,total,4.72,obs
65,m,total,17.51,top
75,m,total,11.49,top
85,m,total,7.1,top
95,m,total,4.94,top
105,m,total,4.8,top
65,m,total,17.72,van
75,m,total,11.81,van
85,m,total,7.61,van
95,m,total,5.03,van
105,m,total,3.79,van
65,m,total,17.45,gom
75,m,total,11.41,gom
85,m,total,6.88,gom
95,m,total,3.83,gom
105,m,total,2.2,gom
65,m,ibge,16.7,ibge
75,m,ibge,10.7,ibge
65,f,atc,21.47,obs
75,f,atc,13.6,obs
85,f,atc,7.4,obs
95,f,atc,3.66,obs
105,f,atc,0.5,obs
65,f,atc,21.47,top
75,f,atc,13.61,top
85,f,atc,7.45,top
95,f,atc,3.64,top
105,f,atc,2.16,top
65,f,atc,22.79,van
75,f,atc,15.08,van
85,f,atc,9.55,van
95,f,atc,6.2,van
105,f,atc,4.69,van
65,f,atc,21.52,gom
75,f,atc,13.67,gom
85,f,atc,7.54,gom
95,f,atc,3.53,gom
105,f,atc,1.55,gom
65,f,api.urb,21.56,obs
75,f,api.urb,13.74,obs
85,f,api.urb,7.61,obs
95,f,api.urb,4.08,obs
105,f,api.urb,6,obs
65,f,api.urb,21.54,top
75,f,api.urb,13.71,top
85,f,api.urb,7.57,top
95,f,api.urb,3.91,top
105,f,api.urb,2.78,top
65,f,api.urb,22.89,van
75,f,api.urb,15.23,van
85,f,api.urb,9.7,van
95,f,api.urb,6.33,van
105,f,api.urb,4.81,van
65,f,api.urb,21.75,gom
75,f,api.urb,13.96,gom
85,f,api.urb,7.86,gom
95,f,api.urb,3.8,gom
105,f,api.urb,1.77,gom
65,f,api.rur,20.77,obs
75,f,api.rur,13.6,obs
85,f,api.rur,8.36,obs
95,f,api.rur,6.35,obs
105,f,api.rur,5.47,obs
65,f,api.rur,20.76,top
75,f,api.rur,13.57,top
85,f,api.rur,8.51,top
95,f,api.rur,5.64,top
105,f,api.rur,4.62,top
65,f,api.rur,20.97,van
75,f,api.rur,13.79,van
85,f,api.rur,8.65,van
95,f,api.rur,5.56,van
105,f,api.rur,4.13,van
65,f,api.rur,20.34,gom
75,f,api.rur,13.06,gom
85,f,api.rur,7.47,gom
95,f,api.rur,3.77,gom
105,f,api.rur,1.87,gom
65,f,bpc,19.19,obs
75,f,bpc,12.44,obs
85,f,bpc,7.45,obs
95,f,bpc,4.85,obs
105,f,bpc,4.59,obs
65,f,bpc,19.22,top
75,f,bpc,12.49,top
85,f,bpc,7.65,top
95,f,bpc,4.81,top
105,f,bpc,3.76,top
65,f,bpc,19.73,van
75,f,bpc,13.21,van
85,f,bpc,8.63,van
95,f,bpc,5.79,van
105,f,bpc,4.46,van
65,f,bpc,18.99,gom
75,f,bpc,12.28,gom
85,f,bpc,7.19,gom
95,f,bpc,3.79,gom
105,f,bpc,2.02,gom
65,f,total,22.77,obs
75,f,total,15.63,obs
85,f,total,9.92,obs
95,f,total,6.44,obs
105,f,total,5.63,obs
65,f,total,22.77,top
75,f,total,15.62,top
85,f,total,9.92,top
95,f,total,6.4,top
105,f,total,5.35,top
65,f,total,23.94,van
75,f,total,17,van
85,f,total,11.78,van
95,f,total,8.39,van
105,f,total,6.84,van
65,f,total,22.82,gom
75,f,total,15.69,gom
85,f,total,9.97,gom
95,f,total,5.86,gom
105,f,total,3.7,gom
65,f,ibge,19.8,ibge
75,f,ibge,12.9,ibge
