"idade","sexo","grupo","pop","obito","mx","gomp"
65,"f","atc",53209,373,0.00701009227762221,0.0073491687745651
66,"f","atc",47421,390,0.00822420446637566,0.00821905899929044
67,"f","atc",42732,404,0.00945427314424787,0.0091919144744114
68,"f","atc",38079,411,0.0107933506657213,0.0102799227639305
69,"f","atc",32680,396,0.0121175030599755,0.011496714022586
70,"f","atc",29356,373,0.0127060907480583,0.012857531749255
71,"f","atc",27431,398,0.0145091320039372,0.0143794237517195
72,"f","atc",24118,352,0.0145949083671946,0.0160814557151295
73,"f","atc",20749,383,0.0184587209022122,0.017984950049667
74,"f","atc",19134,381,0.019912198181248,0.0201137530096052
75,"f","atc",18483,404,0.0218579234972678,0.0224945334301271
76,"f","atc",16488,386,0.0234109655507035,0.0251571168243672
77,"f","atc",14106,413,0.0292783212817241,0.0281348590261151
78,"f","atc",12135,394,0.0324680675731356,0.0314650640590362
79,"f","atc",11343,415,0.0365864409768139,0.0351894514673159
80,"f","atc",9838,381,0.0387273836145558,0.0393546789622684
81,"f","atc",8145,369,0.0453038674033149,0.0440129269324285
82,"f","atc",7377,359,0.048664768876237,0.049222552139646
83,"f","atc",6378,339,0.0531514581373471,0.0550488187904409
84,"f","atc",6000,342,0.057,0.0615647161412016
85,"f","atc",5598,401,0.071632725973562,0.0688518728798752
86,"f","atc",4728,378,0.0799492385786802,0.0770015797391765
87,"f","atc",3929,324,0.0824637312293204,0.0861159331522239
88,"f","atc",3251,353,0.108581974776992,0.0963091142778886
89,"f","atc",2642,312,0.118092354277063,0.107708819418998
90,"f","atc",2030,246,0.121182266009852,0.120457859753133
91,"f","atc",1554,230,0.148005148005148,0.134715950416834
92,"f","atc",1152,200,0.173611111111111,0.150661711356189
93,"f","atc",843,151,0.179122182680902,0.168494905009698
94,"f","atc",593,95,0.160202360876897,0.188438938856251
95,"f","atc",445,89,0.2,0.2107436641792
96,"f","atc",316,72,0.227848101265823,0.235688506108366
97,"f","atc",214,57,0.266355140186916,0.26358596415197
98,"f","atc",139,39,0.280575539568345,0.294785527071814
99,"f","atc",95,29,0.305263157894737,0.329678051145798
100,"f","atc",57,18,0.315789473684211,0.368700656666952
101,"f","atc",33,13,0.393939393939394,0.412342204020499
102,"f","atc",29,10,0.344827586206897,0.461149417941146
103,"f","atc",14,4,0.285714285714286,0.515733736672964
104,"f","atc",10,6,0.6,0.576778971835554
105,"f","atc",1,2,2,0.645049874956373
106,"f","atc",1,1,1,0.721401717987501
107,"f","atc",1,0,0,0.806791007827907
108,"f","atc",3,0,0,0.902287469078701
109,"f","atc",0,1,0,1.00908744514677
110,"f","atc",0,0,NA,1.12852888558072
111,"f","atc",1,0,0,1.26210810739481
112,"f","atc",0,0,NA,1.41149854036039
113,"f","atc",0,0,NA,1.57857169109861
114,"f","atc",0,0,NA,1.76542058860486
115,"f","atc",0,0,NA,1.97438600492123
65,"f","api.urb",123150,961,0.00780349167681689,0.00763677232322975
66,"f","api.urb",115857,983,0.00848459739161207,0.008504618487555
67,"f","api.urb",113410,1069,0.00942597654527819,0.00947108707154347
68,"f","api.urb",104818,1082,0.0103226545059055,0.0105473855703251
69,"f","api.urb",93985,1146,0.012193435122626,0.0117459951037039
70,"f","api.urb",87811,1091,0.0124244115201968,0.0130808151514255
71,"f","api.urb",87477,1283,0.0146667123929719,0.0145673247362249
72,"f","api.urb",79821,1281,0.0160484083136017,0.0162227619237862
73,"f","api.urb",71412,1276,0.0178681454097351,0.0180663237211563
74,"f","api.urb",66597,1349,0.0202561676952415,0.020119388691703
75,"f","api.urb",69848,1646,0.0235654564196541,0.0224057648681345
76,"f","api.urb",63697,1536,0.0241141655023,0.0249519658384628
77,"f","api.urb",59162,1682,0.0284304114127311,0.0277875182064986
78,"f","api.urb",56588,1774,0.0313494027002191,0.030945303992291
79,"f","api.urb",58389,1967,0.033687852163935,0.0344619419431041
80,"f","api.urb",53446,2061,0.0385622871683568,0.0383782121767404
81,"f","api.urb",49301,2093,0.0424534999290075,0.0427395290815187
82,"f","api.urb",46278,2388,0.0516011927913912,0.0475964679568127
83,"f","api.urb",45240,2418,0.053448275862069,0.0530053515012523
84,"f","api.urb",42062,2565,0.060981408397128,0.0590289029497024
85,"f","api.urb",37732,2617,0.0693575744725962,0.0657369734330137
86,"f","api.urb",31734,2477,0.0780550828764102,0.0732073519952575
87,"f","api.urb",26769,2353,0.087900183047555,0.0815266676616729
88,"f","api.urb",23148,2201,0.0950838085363746,0.0907913940180139
89,"f","api.urb",18010,2020,0.112159911160466,0.101108967950734
90,"f","api.urb",14977,1897,0.126660880016025,0.112599035521299
91,"f","api.urb",11418,1561,0.136713960413382,0.125394839422201
92,"f","api.urb",8812,1413,0.160349523377213,0.139644764104087
93,"f","api.urb",6491,1121,0.172700662455708,0.155514056491815
94,"f","api.urb",4682,906,0.19350704826997,0.173186742243431
95,"f","api.urb",3370,702,0.208308605341246,0.192867759773673
96,"f","api.urb",2324,521,0.224182444061962,0.214785336788827
97,"f","api.urb",1554,384,0.247104247104247,0.239193636892064
98,"f","api.urb",982,251,0.255600814663951,0.266375706950164
99,"f","api.urb",563,156,0.27708703374778,0.296646759400286
100,"f","api.urb",364,109,0.299450549450549,0.330357827559533
101,"f","api.urb",209,66,0.315789473684211,0.367899836325497
102,"f","api.urb",118,43,0.364406779661017,0.409708135473002
103,"f","api.urb",46,17,0.369565217391304,0.456267548116683
104,"f","api.urb",33,10,0.303030303030303,0.508117992883077
105,"f","api.urb",18,3,0.166666666666667,0.565860744988816
106,"f","api.urb",11,1,0.0909090909090909,0.630165408830501
107,"f","api.urb",4,1,0.25,0.701777682942755
108,"f","api.urb",1,0,0,0.781528007369522
109,"f","api.urb",2,2,1,0.870341193726445
110,"f","api.urb",1,0,0,0.969247149627762
111,"f","api.urb",1,0,0,1.07939282184179
112,"f","api.urb",1,0,0,1.20205549667186
113,"f","api.urb",2,0,0,1.33865761179837
114,"f","api.urb",0,0,NA,1.49078325134509
115,"f","api.urb",0,0,NA,1.66019651545206
65,"f","api.rur",156023,1710,0.0109599225755177,0.010565672213614
66,"f","api.rur",142766,1748,0.01224381155177,0.0116548507093201
67,"f","api.rur",147994,1859,0.0125613200535157,0.0128563088377389
68,"f","api.rur",137652,1831,0.0133016592566763,0.0141816211167037
69,"f","api.rur",128033,2082,0.016261432599408,0.0156435552409388
70,"f","api.rur",124200,2247,0.0180917874396135,0.0172561950825255
71,"f","api.rur",131843,2444,0.0185371995479472,0.0190350763710608
72,"f","api.rur",119865,2534,0.0211404496725483,0.0209973363606114
73,"f","api.rur",109897,2541,0.0231216502725279,0.023161878925316
74,"f","api.rur",103261,2660,0.0257599674610937,0.0255495566741198
75,"f","api.rur",115645,3091,0.0267283496908643,0.0281833718390855
76,"f","api.rur",102893,3177,0.0308767360267462,0.0310886978725834
77,"f","api.rur",97802,3236,0.0330872579292857,0.0342935238881671
78,"f","api.rur",93210,3586,0.0384722669241498,0.0378287243000107
79,"f","api.rur",96427,4054,0.0420421666130855,0.0417283562585409
80,"f","api.rur",78759,3714,0.0471565154458538,0.0460299877476761
81,"f","api.rur",64815,3325,0.0512998534289902,0.0507750595044717
82,"f","api.rur",59224,3540,0.0597730649736593,0.0560092842478066
83,"f","api.rur",59266,3693,0.0623122869773563,0.0617830870621692
84,"f","api.rur",51053,3510,0.0687520811705482,0.068152091179081
85,"f","api.rur",45750,3544,0.0774644808743169,0.0751776538360415
86,"f","api.rur",36826,3127,0.0849128333242818,0.0829274573753129
87,"f","api.rur",31492,3010,0.0955798297980439,0.0914761612770284
88,"f","api.rur",27683,2925,0.105660513672651,0.100906121408131
89,"f","api.rur",24225,2697,0.111331269349845,0.11130818341619
90,"f","api.rur",21113,2549,0.12073130298868,0.122782557911435
91,"f","api.rur",17159,2285,0.133166268430561,0.13543978586827
92,"f","api.rur",14108,1921,0.136163878650411,0.149401803546679
93,"f","api.rur",10953,1539,0.1405094494659,0.164803117192683
94,"f","api.rur",9783,1380,0.141061024225698,0.181792098834599
95,"f","api.rur",9186,1323,0.144023514043109,0.200532415658433
96,"f","api.rur",7492,1066,0.142285104111052,0.221204606732629
97,"f","api.rur",6775,965,0.142435424354244,0.244007822271896
98,"f","api.rur",5841,828,0.14175654853621,0.269161742195719
99,"f","api.rur",4823,716,0.148455318266639,0.296908692464402
100,"f","api.rur",3508,547,0.155929304446978,0.327515979580855
101,"f","api.rur",2147,359,0.167210060549604,0.361278465748079
102,"f","api.rur",1557,263,0.168914579319204,0.398521409490688
103,"f","api.rur",1180,218,0.184745762711864,0.439603599106264
104,"f","api.rur",995,190,0.190954773869347,0.484920809133333
105,"f","api.rur",738,135,0.182926829268293,0.534909613134639
106,"f","api.rur",377,76,0.20159151193634,0.590051589527014
107,"f","api.rur",332,73,0.219879518072289,0.650877960975666
108,"f","api.rur",223,45,0.201793721973094,0.717974712047522
109,"f","api.rur",167,27,0.161676646706587,0.791988234425706
110,"f","api.rur",85,13,0.152941176470588,0.873631554069597
111,"f","api.rur",41,7,0.170731707317073,0.963691200311202
112,"f","api.rur",24,5,0.208333333333333,1.06303478306286
113,"f","api.rur",11,5,0.454545454545455,1.17261935113301
114,"f","api.rur",22,6,0.272727272727273,1.29350061217167
115,"f","api.rur",4,1,0.25,1.42684310306824
65,"f","bpc",51618,522,0.0101127513658026,0.0142334872555336
66,"f","bpc",66510,1058,0.015907382348519,0.0155539658358215
67,"f","bpc",73586,1239,0.0168374419047101,0.0169969487363575
68,"f","bpc",71501,1259,0.0176081453406246,0.0185738010097092
69,"f","bpc",69011,1416,0.0205184680703076,0.0202969420746872
70,"f","bpc",69858,1607,0.0230038077242406,0.0221799435327135
71,"f","bpc",74091,1756,0.0237005844164608,0.0242376360588761
72,"f","bpc",68880,1882,0.0273228803716609,0.0264862262095517
73,"f","bpc",64325,1915,0.0297706956859697,0.0289434240665825
74,"f","bpc",61751,1928,0.0312221664426487,0.0316285827233447
75,"f","bpc",67655,2235,0.0330352523834159,0.0345628507113111
76,"f","bpc",54401,2075,0.0381426812007132,0.0377693385676325
77,"f","bpc",44695,1825,0.0408323078644144,0.0412733008556382
78,"f","bpc",39086,1844,0.0471780177045489,0.0451023350718637
79,"f","bpc",39643,1836,0.0463133466185707,0.0492865990062139
80,"f","bpc",33389,1873,0.0560963191470245,0.0538590482672087
