grupo,Idade modal,C50,sexo,info
api.rur,86,13.22,m,obs
api.urb,82,13.21,m,obs
atc,87,12.88,m,obs
bpc,80,13.83,m,obs
api.rur,87,13.37,f,obs
api.urb,90,12.13,f,obs
atc,88,12.04,f,obs
bpc,85,13.87,f,obs
api.rur,83,14.38,m,van
api.urb,81,14.57,m,van
atc,83,13.75,m,van
bpc,79,14.04,m,van
api.rur,86,14.38,f,van
api.urb,105,13.97,f,van
atc,105,13.91,f,van
bpc,84,15.06,f,van
api.rur,85,13.42,m,gom
api.urb,84,13.22,m,gom
atc,85,12.88,m,gom
bpc,79,13.83,m,gom
api.rur,88,13.40,f,gom
api.urb,90,12.72,f,gom
atc,89,12.31,f,gom
bpc,86,13.98,f,gom
api.rur,81,13.44,m,top
api.urb,84,13.25,m,top
atc,85,12.87,m,top
bpc,80,13.82,m,top
api.rur,85,13.97,f,top
api.urb,89,12.14,f,top
atc,89,12.08,f,top
bpc,84,13.99,f,top
