modelo;idade;sexo;nqx;ex
obs;65;m;0.01882973;17.505525
obs;66;m;0.0212336;16.824253
obs;67;m;0.02298914;16.178395
obs;68;m;0.02465046;15.547309
obs;69;m;0.02660688;14.927606
obs;70;m;0.0287236;14.321973
obs;71;m;0.03010023;13.730731
obs;72;m;0.03280771;13.141338
obs;73;m;0.03584676;12.570139
obs;74;m;0.03956878;12.018901
obs;75;m;0.04067849;11.493468
obs;76;m;0.0452279;10.959629
obs;77;m;0.04891185;10.455105
obs;78;m;0.05451782;9.967069
obs;79;m;0.05658411;9.512953
obs;80;m;0.06199085;9.053531
obs;81;m;0.0671595;8.618814
obs;82;m;0.07427202;8.203325
obs;83;m;0.07825676;7.82137
obs;84;m;0.08460312;7.442961
obs;85;m;0.09153264;7.084645
obs;86;m;0.10139239;6.748081
obs;87;m;0.10877063;6.45307
obs;88;m;0.11916794;6.179616
obs;89;m;0.12189458;5.948012
obs;90;m;0.1327975;5.70428
obs;91;m;0.13894322;5.501228
obs;92;m;0.15160242;5.308244
obs;93;m;0.16354899;5.167442
obs;94;m;0.1656096;5.080055
obs;95;m;0.16642582;4.989103
obs;96;m;0.1737576;4.885367
obs;97;m;0.18081707;4.807603
obs;98;m;0.18397313;4.758414
obs;99;m;0.17857143;4.718473
obs;100;m;0.18449167;4.635532
obs;101;m;0.20916404;4.57111
obs;102;m;0.19706923;4.647856
obs;103;m;0.19411396;4.665895
obs;104;m;0.2015091;4.669335
obs;105;m;;4.721519
topals;65;m;0.01932608;17.509499
topals;66;m;0.0209683;16.836889
topals;67;m;0.02261239;16.186783
topals;68;m;0.02451662;15.549705
topals;69;m;0.02643782;14.927946
topals;70;m;0.02863695;14.319748
topals;71;m;0.03074382;13.727171
topals;72;m;0.03323436;13.146723
topals;73;m;0.03579971;12.581478
topals;74;m;0.03858189;12.03005
topals;75;m;0.04170211;11.492753
topals;76;m;0.04508629;10.971123
topals;77;m;0.04878108;10.465517
topals;78;m;0.05274481;9.976576
topals;79;m;0.05709325;9.504248
topals;80;m;0.0624388;9.049458
topals;81;m;0.06755722;8.618826
topals;82;m;0.07335448;8.20705
topals;83;m;0.07952175;7.817151
topals;84;m;0.08619259;7.449292
topals;85;m;0.09345816;7.104767
topals;86;m;0.10034745;6.785672
topals;87;m;0.1072785;6.486778
topals;88;m;0.11470263;6.20621
topals;89;m;0.12268785;5.945529
topals;90;m;0.1313252;5.70706
topals;91;m;0.13989927;5.494257
topals;92;m;0.14922309;5.306595
topals;93;m;0.1585741;5.149654
topals;94;m;0.16788784;5.025922
topals;95;m;0.17507436;4.939077
topals;96;m;0.17881878;4.881185
topals;97;m;0.18222081;4.835223
topals;98;m;0.18519305;4.801214
topals;99;m;0.18773191;4.778814
topals;100;m;0.18944269;4.767736
topals;101;m;0.19061486;4.765187
topals;102;m;0.19118748;4.769663
topals;103;m;0.19108653;4.778928
topals;104;m;0.19029576;4.789723
topals;105;m;;4.797889
vand;65;m;0.02039845;17.720765
vand;66;m;0.02160638;17.071138
vand;67;m;0.02289896;16.437087
vand;68;m;0.02444076;15.810582
vand;69;m;0.0262306;15.194159
vand;70;m;0.02826714;14.589979
vand;71;m;0.03054883;13.999848
vand;72;m;0.03307396;13.425248
vand;73;m;0.03584064;12.867359
vand;74;m;0.03884682;12.32709
vand;75;m;0.04209024;11.805105
vand;76;m;0.04556852;11.301847
vand;77;m;0.0492791;10.817572
vand;78;m;0.05321926;10.352367
vand;79;m;0.05738614;9.906176
vand;80;m;0.06177674;9.478822
vand;81;m;0.06638789;9.070027
vand;82;m;0.07121632;8.67943
vand;83;m;0.07625861;8.306604
vand;84;m;0.08151122;7.951071
vand;85;m;0.08697049;7.612316
vand;86;m;0.09263267;7.289798
vand;87;m;0.09849387;6.982966
vand;88;m;0.10455013;6.691261
vand;89;m;0.11079738;6.414134
vand;90;m;0.11723147;6.151054
vand;91;m;0.12384818;5.901512
vand;92;m;0.13064319;5.665041
vand;93;m;0.13761213;5.441222
vand;94;m;0.14475059;5.229697
vand;95;m;0.15205406;5.030197
vand;96;m;0.15951802;4.842554
vand;97;m;0.1671379;4.666742
vand;98;m;0.17490908;4.50292
vand;99;m;0.18282692;4.351489
vand;100;m;0.19088676;4.213187
vand;101;m;0.19908393;4.089205
vand;102;m;0.20741372;3.981375
vand;103;m;0.21587145;3.892424
vand;104;m;0.22445241;3.826362
vand;105;m;;3.789049
gomp;65;m;0.01918913;17.446059
gomp;66;m;0.02090321;16.769838
gomp;67;m;0.02259557;16.117191
gomp;68;m;0.02442326;15.478228
